fecha,parcela,variedad,tam_parcela_ha,temp_max,temp_min,temp_media,lluvia,prob_lluvia_%,humedad_relativa_%,viento_vel_kmh,viento_dir_deg,radiacion_MJ_m2,presion_hPa,et0_mm,riego_sugerido_mm,fertilizante_sugerido_kg
2025-06-02,Agria_p1,Agria,2.749080237694725,33.4901424590337,19.72347139765763,26.606806928345662,3.295377076201385,45.23029856408026,62.658466252766644,13.829315215254097,330,5.0,1010.5359828751829,4.39257975040246,20.354076665347204,0.5079831812215705
2025-06-03,Agria_p1,Agria,2.749080237694725,31.521450495028777,20.044443653223965,25.78294707412637,1.1444141727933093,24.681825897817724,63.8252449822865,16.110394507823717,54,11.160117490284614,1012.8777241125297,4.3555513171224325,27.085055548315875,0.5832461857121156
2025-06-04,Agria_p1,Agria,2.749080237694725,31.119802560924015,19.940322861280503,25.53006271110226,2.190251568634273,36.64654342749852,63.59781502642992,14.834032999667276,339,18.895963172575023,1007.4945112182509,5.130228193897037,26.865594573647094,0.46135270494354447
2025-06-05,Agria_p1,Agria,2.749080237694725,28.52368927422475,21.13222565356208,24.827957463893416,0.5910930992468191,16.220606961775175,61.468833479929316,12.692671409129083,217,15.333286392543123,1002.1083287658814,2.956103591765165,15.690774826102047,0.31620993837763656
2025-06-06,Agria_p1,Agria,2.749080237694725,34.237578625476296,16.326833521364897,25.282206073420596,3.1289284771102714,30.255006680813484,69.73193249460023,18.295952992144922,52,17.304081500743187,1013.429617358154,2.4900427177833913,28.60751231179323,0.4156580076640715
2025-06-07,Agria_p1,Agria,2.749080237694725,30.460023783808502,19.912926395053002,25.18647508943075,1.4493981795072144,14.36933205413487,57.043690078629865,19.652922003855508,260,18.388837048366707,1014.0579350616301,4.597044646179076,20.51832408435349,0.48880121794930587
2025-06-08,Agria_p1,Agria,2.749080237694725,36.40682385629718,17.752203330919926,27.079513593608553,3.90001079101436,47.26516468575364,69.57885077000014,6.578563108170593,226,16.80818012523817,1009.7744012269744,4.361395605508414,32.690182832329846,0.49641739608900487
2025-06-09,Agria_p1,Agria,2.749080237694725,36.69393096744202,14.76050979182051,25.727220379631266,3.643805008750448,30.87047068238171,62.009926495341325,15.458803882677511,221,5.0621554269955364,1014.4882522425418,2.9718842294124617,17.90701768492221,0.5190336984965167
2025-06-10,Agria_p1,Agria,2.749080237694725,32.40726148842946,21.216179324001924,26.81172040621569,3.4099626226654416,33.609233775911356,50.33032114820474,19.46314735753081,133,7.587878765705433,1011.8557624188049,4.962641289999702,23.95153781581501,0.4225957069253496
2025-06-11,Agria_p1,Agria,2.749080237694725,30.920665564124036,21.448166503051755,26.184416033587894,1.4884707260821153,38.4992120406235,51.88675774248891,10.64847522719463,136,12.46678390184238,1022.7255780724339,3.8466635424838596,20.4650638729756,0.4182645844877171
